"","item_id","bundle_index","total","total_nofw","nongift","nongift_nofw","branded","branded_nofw","num_of_yuanzhuang","num_of_acc_no_price","bundle_price","price_ref","bundle_add_on","price_ref_rel","num_of_acc_rel","premium_percent","ind_firstbundle_noacc"
"170",36574928690,3,18,18,18,18,3,3,0,0,3150,800,290,800,18,-0.161904761904762,TRUE
"171",36574928690,4,18,18,18,18,3,3,0,0,3260,920,400,920,18,-0.159509202453988,TRUE
"172",36574928690,5,18,18,18,18,3,3,0,0,3380,920,520,920,18,-0.118343195266272,TRUE
"173",36613205733,0,0,0,0,0,0,0,0,0,2849,0,0,0,0,0,TRUE
"174",36613205733,1,16,16,8,8,6,6,0,2,2999,360,150,360,16,-0.0700233411137046,TRUE
"175",36613205733,2,18,18,15,15,6,6,0,2,3059,440,210,440,18,-0.075187969924812,TRUE
"176",36613205733,3,19,19,16,16,7,7,0,2,3139,520,290,520,19,-0.0732717425931825,TRUE
"177",36613205733,4,21,21,18,18,7,7,0,2,3239,600,390,600,21,-0.0648348255634455,TRUE
"178",36613205733,5,22,22,19,19,8,8,0,2,3459,998,610,998,22,-0.112171147730558,TRUE
"179",36613205733,6,23,23,20,20,9,9,0,2,3589,1083,740,1083,23,-0.0955697966007244,TRUE
"180",36910165248,0,0,0,0,0,0,0,0,0,2858,0,0,0,0,0,TRUE
"181",36910165248,1,7,6,6,5,0,0,0,1,3078,175,220,175,7,0.0146198830409357,TRUE
"182",36910165248,2,7,6,6,5,0,0,0,1,3118,180,260,180,7,0.0256574727389352,TRUE
"183",36910165248,3,12,10,11,9,0,0,0,2,3228,445,370,445,12,-0.0232342007434944,TRUE
"184",36910165248,4,12,10,11,9,0,0,0,2,3268,450,410,450,12,-0.0122399020807834,TRUE
"185",36910165248,5,12,10,11,9,0,0,0,2,3358,475,500,475,12,0.00744490768314473,TRUE
"186",36910165248,6,14,12,13,11,1,1,0,2,3418,550,560,550,14,0.00292568753657109,TRUE
"187",36910165248,7,14,12,13,11,1,1,0,2,3508,575,650,575,14,0.0213797035347777,TRUE
"188",36910165248,8,16,14,15,13,1,1,0,2,3588,725,730,725,16,0.00139353400222965,TRUE
"189",36982442137,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,TRUE
"190",36982442137,1,21,21,13,13,0,0,0,0,3568.28571428571,819,240.285714285714,819,21,-0.162182720794299,TRUE
"191",36982442137,2,21,21,13,13,0,0,0,0,3626.85714285714,939,298.857142857143,939,21,-0.176500708996376,TRUE
"192",36982442137,3,22,22,12,12,0,0,0,1,3710,1064,382,1064,22,-0.183827493261456,TRUE
"193",36982442137,4,10,10,7,7,0,0,0,0,3756,485,428,485,10,-0.0151757188498403,TRUE
"194",36982442137,5,14,13,11,10,0,0,0,1,3856,475,528,475,14,0.0137448132780083,TRUE
"195",36982442137,6,14,13,11,10,0,0,0,1,3916,495,588,495,14,0.0237487231869254,TRUE
"196",36982442137,7,14,13,11,10,0,0,0,1,4136,495,808,495,14,0.0756769825918762,TRUE
"197",37241107923,0,0,0,0,0,0,0,0,0,2680,0,0,0,0,0,TRUE
"198",37241107923,1,5,5,5,5,1,1,0,0,2750,350,70,350,5,-0.101818181818182,TRUE
"199",37241107923,2,6,6,6,6,2,2,0,0,2840,415,160,415,6,-0.0897887323943662,TRUE
"200",37443266749,0,0,0,0,0,0,0,0,0,3280,0,0,0,0,0,TRUE
"201",37443266749,1,16,14,3,1,2,2,0,2,3565,455,285,455,16,-0.0476858345021038,TRUE
"202",37443266749,2,16,14,3,1,2,2,0,2,3596,450,316,450,16,-0.0372636262513904,TRUE
"203",37443266749,3,16,14,3,1,2,2,0,2,3645,470,365,470,16,-0.0288065843621399,TRUE
"204",37443266749,4,17,15,3,1,2,2,0,2,3625,515,345,515,17,-0.0468965517241379,TRUE
"205",37443266749,5,17,15,3,1,2,2,0,2,3655,510,375,510,17,-0.0369357045143639,TRUE
"206",37443266749,6,17,15,3,1,2,2,0,2,3705,530,425,530,17,-0.0283400809716599,TRUE
"207",37745552927,0,0,0,0,0,0,0,0,0,3298,0,0,0,0,0,TRUE
"208",37745552927,1,6,6,4,4,0,0,0,0,3508,245,210,245,6,-0.00997719498289624,TRUE
"209",37745552927,2,9,9,6,6,1,1,0,0,3678,335,380,335,9,0.0122349102773246,TRUE
"210",37745552927,3,11,11,7,7,2,2,0,0,3878,540,580,540,11,0.0103145951521403,TRUE
"211",37745552927,4,15,15,10,10,2,2,0,0,4128,755,830,755,15,0.0181686046511628,TRUE
"212",37745552927,5,8,8,5,5,2,2,0,0,4538,0,1240,0,8,0.273248126928162,TRUE
"213",37870465778,0,0,0,0,0,0,0,0,0,2750,0,0,0,0,0,TRUE
"214",37870465778,1,5,5,0,0,0,0,0,0,2830,350,80,350,5,-0.0954063604240283,TRUE
"215",37908516066,0,0,0,0,0,0,0,0,0,3290,0,0,0,0,0,TRUE
"216",37994506504,0,0,0,0,0,0,0,0,0,3040,0,0,0,0,0,TRUE
"217",37994506504,1,12,12,1,1,4,4,0,0,3190,410,150,410,12,-0.0815047021943574,TRUE
"218",37994506504,2,12,12,1,1,4,4,0,0,3220,418,180,418,12,-0.0739130434782609,TRUE
"219",37994506504,3,12,12,1,1,4,4,0,0,3280,458,240,458,12,-0.0664634146341463,TRUE
"220",37994506504,4,14,14,2,2,5,5,0,0,3380,510,340,510,14,-0.0502958579881657,TRUE
"221",37994506504,5,13,13,2,2,5,5,0,0,3370,485,330,485,13,-0.0459940652818991,TRUE
"222",37994506504,6,14,14,2,2,6,6,0,0,3400,543,360,543,14,-0.0538235294117647,TRUE
"223",37994506504,7,14,14,2,2,6,6,0,0,3460,563,420,563,14,-0.0413294797687861,TRUE
"224",37994506504,8,16,16,3,3,7,7,0,0,3560,635,520,635,16,-0.0323033707865169,TRUE
"225",38631814095,0,0,0,0,0,0,0,0,0,2850,0,0,0,0,0,TRUE
"226",38631814095,1,11,11,8,8,3,3,0,0,3110,775,260,775,11,-0.165594855305466,TRUE
"227",38631814095,2,12,12,9,9,4,4,0,0,3230,870,380,870,12,-0.151702786377709,TRUE
"228",38631814095,3,13,13,10,10,4,4,0,0,3350,450,500,450,13,0.0149253731343284,TRUE
"229",38663832002,0,2,1,2,1,0,0,0,2,3000,0,0,0,0,0,FALSE
"230",38663832002,1,15,13,7,5,2,2,0,3,3150,410,150,410,13,-0.0825396825396825,FALSE
"231",38663832002,2,15,13,7,5,2,2,0,3,3180,423,180,423,13,-0.0764150943396226,FALSE
"232",38663832002,3,15,13,7,5,2,2,0,3,3240,418,240,418,13,-0.0549382716049383,FALSE
"233",38663832002,4,17,15,8,6,3,3,0,3,3340,498,340,498,15,-0.0473053892215569,FALSE
"234",38663832002,5,16,14,8,6,3,3,0,3,3330,485,330,485,14,-0.0465465465465465,FALSE
"235",38663832002,6,17,15,9,7,3,3,0,3,3360,538,360,538,15,-0.0529761904761905,FALSE
"236",38663832002,7,17,15,9,7,3,3,0,3,3420,533,420,533,15,-0.0330409356725146,FALSE
"237",38663832002,8,19,17,11,9,4,4,0,3,3520,613,520,613,17,-0.0264204545454545,FALSE
"238",38708270318,0,0,0,0,0,0,0,0,0,3050,0,0,0,0,0,TRUE
"239",38708270318,1,12,12,1,1,2,2,0,0,3200,410,150,410,12,-0.08125,TRUE
"240",38708270318,2,12,12,1,1,2,2,0,0,3230,418,180,418,12,-0.0736842105263158,TRUE
"241",38708270318,3,12,12,1,1,2,2,0,0,3290,458,240,458,12,-0.0662613981762918,TRUE
"242",38708270318,4,14,14,1,1,2,2,0,0,3390,548,340,548,14,-0.0613569321533923,TRUE
"243",38708270318,5,13,13,2,2,3,3,0,0,3350,485,300,485,13,-0.0552238805970149,TRUE
"244",38708270318,6,14,14,2,2,3,3,0,0,3380,543,330,543,14,-0.0630177514792899,TRUE
"245",38708270318,7,14,14,2,2,3,3,0,0,3440,583,390,583,14,-0.0561046511627907,TRUE
"246",38708270318,8,16,16,2,2,3,3,0,0,4560,673,1510,673,16,0.183552631578947,TRUE
"247",39237426326,0,0,0,0,0,0,0,0,0,2850,0,0,0,0,0,TRUE
"248",39237426326,1,13,12,13,12,3,3,0,1,3080,288,230,288,13,-0.0188311688311688,TRUE
"249",39237426326,2,14,13,14,13,3,3,0,1,3150,348,300,348,14,-0.0152380952380952,TRUE
"250",39237426326,3,14,13,14,13,3,3,0,1,3190,353,340,353,14,-0.00407523510971787,TRUE
"251",39237426326,4,14,13,14,13,3,3,0,1,3280,378,430,378,14,0.0158536585365854,TRUE
